Data,Pedido,Produto,Marca,Aro,Quantidade,Preco_Unitario,Cidade,Vendedor,Forma_Pagamento
2026-01-05,P001,Roda Volcano Strong,Volcano,17,4,850,Maua,Carlos,Pix
2026-01-08,P002,Roda KR R70,KR,18,4,1200,Santo Andre,Ana,Cartao
2026-01-11,P003,Roda GT7 Strong,GT7,20,4,1650,Sao Paulo,Bruno,Cartao
2026-01-14,P004,Roda Volcano Evolution,Volcano,18,4,1100,Sao Bernardo,Carlos,Pix
2026-01-17,P005,Roda KR K56,KR,17,4,900,Maua,Ana,Boleto
2026-01-21,P006,Roda GT7 Racing,GT7,19,4,1450,Santo Andre,Bruno,Cartao
2026-01-25,P007,Roda Volcano V190,Volcano,20,4,1700,Sao Paulo,Carlos,Pix
2026-02-02,P008,Roda KR R70,KR,18,4,1200,Maua,Ana,Cartao
2026-02-06,P009,Roda GT7 Strong,GT7,20,4,1650,Sao Bernardo,Bruno,Pix
2026-02-10,P010,Roda Volcano Strong,Volcano,17,4,850,Santo Andre,Carlos,Cartao
2026-02-15,P011,Roda KR K56,KR,17,4,900,Sao Paulo,Ana,Pix
2026-02-19,P012,Roda GT7 Racing,GT7,19,4,1450,Maua,Bruno,Cartao
2026-02-24,P013,Roda Volcano Evolution,Volcano,18,4,1100,Sao Bernardo,Carlos,Boleto
2026-03-03,P014,Roda KR R70,KR,18,4,1200,Santo Andre,Ana,Pix
2026-03-07,P015,Roda GT7 Strong,GT7,20,4,1650,Sao Paulo,Bruno,Cartao
2026-03-12,P016,Roda Volcano V190,Volcano,20,4,1700,Maua,Carlos,Pix
2026-03-18,P017,Roda KR K56,KR,17,4,900,Sao Bernardo,Ana,Cartao
2026-03-23,P018,Roda GT7 Racing,GT7,19,4,1450,Santo Andre,Bruno,Pix
