Data,Tipo_Residuo,Quantidade_Kg,Destino,Valor_Recuperado,Reciclado
2026-01-05,Aluminio,18,Reciclagem,140,Sim
2026-01-08,Papelao,12,Reciclagem,20,Sim
2026-01-11,Plastico,6,Reciclagem,12,Sim
2026-01-14,Aluminio,22,Reciclagem,170,Sim
2026-01-17,Papelao,9,Reutilizacao,0,Sim
2026-01-21,Plastico,8,Descarte,0,Nao
2026-01-25,Aluminio,25,Reciclagem,195,Sim
2026-02-02,Papelao,14,Reciclagem,25,Sim
2026-02-06,Aluminio,20,Reciclagem,155,Sim
2026-02-10,Plastico,7,Descarte,0,Nao
2026-02-15,Papelao,11,Reutilizacao,0,Sim
2026-02-19,Aluminio,24,Reciclagem,188,Sim
2026-02-24,Plastico,5,Reciclagem,10,Sim
2026-03-03,Aluminio,21,Reciclagem,165,Sim
2026-03-07,Papelao,10,Reciclagem,18,Sim
2026-03-12,Plastico,6,Descarte,0,Nao
2026-03-18,Aluminio,23,Reciclagem,180,Sim
2026-03-23,Papelao,13,Reutilizacao,0,Sim
